id,nombre,direccion,circuitoCodigo,lat,lng,coverageEstado,coverageCriticas,coverageParciales,coverageOptimas
bdbc65f9-4388-4221-91df-4a00721c8119,Instituto Sagrado Corazon de Jesus,MAIPÚ 2524,4,-27.3870661,-55.9044218,critico,5,0,0
17e29b1f-cf49-449b-b157-b683eddee9d2,Instituto San Alberto Magno,FORMOSA 3098,4,-27.3858673,-55.9091117,critico,6,0,0
d80bf355-76d5-4d50-adb1-26736b8cf611,Instituto San Basilio Magno,SAN BASILIO MAGNO AV RADEMACHER 2945,5,-27.3777797,-55.8950548,critico,5,0,0
fa69b3ff-7102-4b33-955a-d4b82755b56e,Instituto San Ignacio de Loyola,148 BARRIO SAN JORGE,4A,-27.4148086,-55.9081237,critico,7,0,0
8a114097-2919-47f0-96e6-6ba9571cf01f,Instituto Santa Lucía,AV. SANTA CRUZ (CASI,4,-27.3978797,-55.9277396,critico,5,0,0
48f0ee04-4fc4-4edf-b184-dc527323f4fd,Instituto Santa María de las Misiones,CH 150 PENINSULA,3A,-27.3629655,-55.9485194,critico,7,0,0
5812ff74-0aa9-4fff-8dc4-b33d25e669e8,Instituto Superior Combate de Mbororé,AV. L. N. ALEM 5325,3,-27.3611243,-55.92729,critico,4,0,0
95d15f15-153d-4f90-8b19-cfc6fe895f8d,Instituto Superior Jesús de Nazareth,AV EVA PERON 3175,4,-27.3737301,-55.9477651,critico,7,0,0
0dc3eb52-2a6d-4cff-91e8-f2677d042248,Instituto Superior Santa Catalina,AV L N ALEM 3270,2,-27.3629566,-55.9074586,critico,7,0,0
7d3c5a4b-4e92-4232-a8d3-c38c28d0a09e,Instituto Tecnológico N°1,COCOMAROLA CASI,4A,-27.4348037,-55.9146474,critico,5,0,0
e0c9a3bd-e01c-40ca-8000-e28853db5a7b,Instituto Verbo Divino,AV TAMBOR DE TACUARI,3A,-27.365118,-55.9500205,critico,7,0,0
0303a269-83b6-4653-8d91-228a790ab688,Instituto Virgen de Itatí - Nivel Inicial y Primario,,5,-27.4040206,-55.8953345,optimo,0,0,0
fb3ace55-93f5-4e0a-b426-7f8e1d41ec38,Polivalente N°8,AV TAMBOR DE TACUARI,4,-27.3778271,-55.9235779,critico,6,0,0
49fe628e-6efb-468a-a8a4-ca925f8c9228,SUPERIOR N 4 FRATERNIDAD,SALTA 578,1,-27.3723469,-55.8867675,critico,7,0,0
e325ceb0-b82b-4a8e-8dd2-b8bd6ff861db,UCAMI,Av. Jauretche 1036,2,-27.3548231,-55.9377304,critico,7,0,0
fe34d676-3183-460e-ad19-9dcbb07fb846,Universidad Católica de Santa Fe - Sede Santos Mártires,Av. Rademacher,5,-27.3859252,-55.8958882,critico,7,0,0
8c421f80-8dd5-4360-b4b4-bce61d52ec70,Universidad Gastón Dachary // Campus Urbano,AV. JAURETCHE ESQ.,3A,-27.3698811,-55.9399259,critico,8,0,0
